NUTS_ID,NAME_LATN,AREA_TOT_2024,POP_TOT_2023,POP_09_RT_2023,POP_024_RT_2023,POP_65P_RT_2023,POP_80P_RT_2023,LIFE_EXP_2022,HIGH_EDU_2023,UNEMP_25P_2023,UNEMP_LT_25P_2023,GDP_CAP_PPS_2022,INC_PPS_2021,AREA_ART_RT,AREA_CUL_RT,AREA_BOI_RT,zone
DE60,Hamburg,755,1892122,10.125774,25.01377,17.91005,6.1728049,80.8,40,3.7,42.4,69100,23700,26.887417218543046,6.887417218543046,21.059602649006624,EU27
DE71,Darmstadt,7445,4088107,9.931516,24.92068,20.306293,6.5341245,81.3,37.6,2.8,36.4,51700,23500,11.202149093351242,24.37877770315648,44.98321020819342,EU27
DE72,Gießen,5382,1067354,9.259533,25.02665,21.658138,6.8118918,80.3,31.8,2.9,44.3,34700,20900,6.856187290969899,19.267930137495355,43.701226309921964,EU27
DE73,Kassel,8288,1235899,9.271793,23.83342,23.33346,7.5957663,80.4,27.8,2.8,41.3,36500,21000,6.696428571428571,21.83880308880309,43.55694980694981,EU27
DE80,Mecklenburg-Vorpommern,23293,1628378,8.46597,21.61992,26.401241,8.4506791,79.6,26.9,3.9,50.8,29400,19500,3.4087494096938995,44.7172970420298,26.56162795689692,EU27
DE91,Braunschweig,8116,1610865,9.367265,23.93509,23.150792,7.7774984,80,34.8,2.7,45.5,46300,21400,7.060128141941843,30.717102020699855,41.48595367175949,EU27
DE92,Hannover,9065,2180058,9.426079,24.2394,22.653847,7.7416748,80.1,31.7,2.6,42.2,38800,21000,7.0821842250413685,42.34969663541092,24.931053502482072,EU27
DE93,Lüneburg,15542,1757157,9.680353,24.3334,23.246471,7.4685984,80.2,27.7,2,37.8,29300,21600,5.8679706601467,32.41539055462617,32.65345515377686,EU27
DE94,Weser-Ems,14987,2592162,9.866744,25.51079,21.355147,6.6787107,80.3,28.1,2.3,39.8,36400,20400,9.194635350637219,37.632614932941884,18.61613398278508,EU27
DEA1,Düsseldorf,5291,5261157,9.716741,24.19409,21.884331,7.265056,79.9,29.7,3.7,35.6,42100,21500,20.563220563220565,27.216027216027218,26.98922698922699,EU27
